PID,CPU%,RSS,VSS,Native,Dalvik,PSS,TIME
11640,50%,158468,2040916,40167,16008,114009,2019-01-10 17:36:06
11640,59%,215752,2129400,43721,15632,175938,2019-01-10 17:36:09
11640,69%,268464,2224372,57734,16085,227146,2019-01-10 17:36:11
11640,28%,302484,2239932,57427,16728,250626,2019-01-10 17:36:21
11640,55%,348244,2334292,65682,25154,287418,2019-01-10 17:36:24
11640,39%,356900,2339900,67346,25589,299829,2019-01-10 17:36:26
11640,63%,370460,2354024,69615,24243,311096,2019-01-10 17:36:30
11640,46%,382180,2377880,71261,25841,321514,2019-01-10 17:36:32
11640,38%,385540,2394356,68628,24073,323334,2019-01-10 17:36:35
11640,29%,394604,2396840,68943,25169,332157,2019-01-10 17:36:37
11640,48%,392120,2381484,68786,24870,327943,2019-01-10 17:36:40
11640,56%,399780,2395740,69780,28485,336042,2019-01-10 17:36:42
11640,65%,393952,2389400,70524,30399,333954,2019-01-10 17:36:45
11640,40%,406420,2408124,69906,23406,342698,2019-01-10 17:36:47
11640,19%,402060,2395780,70065,23446,341886,2019-01-10 17:36:49
11640,16%,389400,2401840,69889,23395,328320,2019-01-10 17:36:51
11640,25%,388756,2395212,69479,23398,326384,2019-01-10 17:36:53
11640,15%,385996,2399560,70130,23766,330446,2019-01-10 17:36:55
11640,12%,386028,2399736,69745,24014,330099,2019-01-10 17:36:57
11640,22%,384512,2384460,67576,23727,323522,2019-01-10 17:36:59
11640,21%,384220,2384608,69970,23737,326164,2019-01-10 17:37:01
11640,50%,401280,2427060,70690,23955,343913,2019-01-10 17:37:03
11640,70%,390900,2424512,70817,23672,331510,2019-01-10 17:37:05
11640,15%,387924,2410476,72245,23697,330640,2019-01-10 17:37:08
11640,1%,403456,2435108,73199,27980,342330,2019-01-10 17:37:10
11640,16%,398244,2420632,73201,28062,334262,2019-01-10 17:37:12
11640,11%,392888,2415528,72834,28290,333984,2019-01-10 17:37:14
11640,17%,386176,2397268,70210,27980,324859,2019-01-10 17:37:16
11640,22%,385644,2397244,72006,38929,330614,2019-01-10 17:37:18
11640,36%,405480,2452592,74599,28474,353362,2019-01-10 17:37:20
11640,39%,397512,2436788,74762,28009,338008,2019-01-10 17:37:22
11640,48%,394976,2435920,74538,28372,342768,2019-01-10 17:37:24
11640,43%,403212,2437892,75001,28815,346780,2019-01-10 17:37:26
11640,16%,401996,2428144,74127,28782,344408,2019-01-10 17:37:28
11640,23%,396796,2417680,74016,28895,219690,2019-01-10 17:37:30
11640,28%,396176,2417232,74335,29109,225301,2019-01-10 17:37:32
11640,12%,394236,2417448,74143,29473,223467,2019-01-10 17:37:34
12522,26%,260928,2390432,71542,29057,222447,2019-01-10 17:37:36
11640,22%,389364,2400184,74123,32616,334220,2019-01-10 17:37:38
11640,31%,405692,2441088,75350,29512,347265,2019-01-10 17:37:40
11640,61%,404644,2435264,75187,30691,342997,2019-01-10 17:37:43
11640,49%,408776,2447188,74768,30261,353829,2019-01-10 17:37:45
11640,15%,400632,2434024,74228,30269,341265,2019-01-10 17:37:47
11640,17%,400104,2427460,73177,30259,340565,2019-01-10 17:37:49
11640,12%,398452,2424400,73365,30350,338845,2019-01-10 17:37:51
11640,11%,398308,2424464,73128,30318,338717,2019-01-10 17:37:52
11640,21%,397624,2421260,70593,30284,334035,2019-01-10 17:37:54
11640,17%,393828,2404368,69377,28195,331507,2019-01-10 17:37:56
11640,47%,398284,2428684,78385,30300,350847,2019-01-10 17:37:58
11640,57%,401688,2439124,72842,30406,347906,2019-01-10 17:38:01
11640,50%,406452,2439836,72884,30300,347588,2019-01-10 17:38:03
11640,54%,414004,2450448,73977,30678,361558,2019-01-10 17:38:05
11640,1%,401968,2429204,73040,30814,346472,2019-01-10 17:38:07
11640,15%,398932,2419584,72090,30745,342880,2019-01-10 17:38:09
11640,0%,397544,2403168,69637,30699,337403,2019-01-10 17:38:11
11640,17%,396752,2401620,68324,28577,336595,2019-01-10 17:38:13
11640,64%,404300,2442880,72062,30654,351271,2019-01-10 17:38:15
11640,52%,407556,2436112,71796,30747,347629,2019-01-10 17:38:17
11640,31%,401424,2425120,71558,30658,343433,2019-01-10 17:38:19
11640,45%,417740,2447340,72042,31743,358153,2019-01-10 17:38:21
11640,20%,403880,2426372,71716,31732,347705,2019-01-10 17:38:23
11640,16%,402976,2417696,71030,31697,346793,2019-01-10 17:38:25
11640,13%,397400,2414708,70942,31826,340911,2019-01-10 17:38:27
11640,10%,397524,2414772,70875,31790,340775,2019-01-10 17:38:29
11640,26%,396532,2414056,68618,31724,334073,2019-01-10 17:38:31
11640,15%,395352,2396040,67585,29603,332981,2019-01-10 17:38:33
11640,42%,400336,2422880,77175,32093,352424,2019-01-10 17:38:35
11640,44%,406316,2430324,71063,31721,352606,2019-01-10 17:38:37
11640,40%,408516,2432600,71881,31679,348618,2019-01-10 17:38:39
11640,52%,414280,2437804,72220,32944,358773,2019-01-10 17:38:41
11640,25%,402544,2425992,71451,32935,346741,2019-01-10 17:38:43
11640,16%,398108,2415560,71087,32917,343089,2019-01-10 17:38:45
11640,8%,398172,2415676,71360,33037,343309,2019-01-10 17:38:47
11640,11%,398036,2415724,71378,33017,343221,2019-01-10 17:38:49
11640,12%,397776,2414596,71250,33224,343101,2019-01-10 17:38:51
11640,16%,397372,2398112,68788,32962,337277,2019-01-10 17:38:53
11640,20%,397136,2398260,69361,32826,340451,2019-01-10 17:38:55
11640,36%,407396,2435860,72238,33395,349915,2019-01-10 17:38:57
11640,43%,406256,2432232,73679,34873,348999,2019-01-10 17:38:59
11640,35%,407404,2431580,72250,33873,349755,2019-01-10 17:39:01
11640,24%,402992,2426940,72165,34020,344499,2019-01-10 17:39:03
11640,12%,399896,2423980,72019,33977,342787,2019-01-10 17:39:04
11640,10%,399128,2417112,72050,34371,339959,2019-01-10 17:39:06
11640,17%,396624,2399580,69063,33900,336231,2019-01-10 17:39:08
11640,17%,395816,2399756,69512,38421,338033,2019-01-10 17:39:10
11640,51%,414508,2441560,71982,33974,356141,2019-01-10 17:39:13
11640,58%,415684,2437712,72714,33945,357339,2019-01-10 17:39:15
11640,47%,407688,2432896,71258,35042,362484,2019-01-10 17:39:17
11640,38%,406256,2429444,70906,34999,352672,2019-01-10 17:39:19
11640,15%,402548,2418788,70009,34977,349264,2019-01-10 17:39:21
11640,25%,398800,2413620,70062,35092,346008,2019-01-10 17:39:23
11640,11%,398768,2413768,69823,35086,345888,2019-01-10 17:39:25
11640,12%,398696,2413704,69631,35227,345692,2019-01-10 17:39:27
11640,15%,398876,2396520,67311,35029,339215,2019-01-10 17:39:29
11640,18%,398312,2396224,68241,34822,340668,2019-01-10 17:39:31
11640,33%,410332,2436324,71809,35272,358724,2019-01-10 17:39:33
11640,46%,415760,2434112,72805,34966,359674,2019-01-10 17:39:35
11640,17%,412380,2425168,75608,35998,360282,2019-01-10 17:39:37
11640,16%,412616,2433596,70401,35828,350710,2019-01-10 17:39:39
11640,14%,406280,2415752,69552,35825,348062,2019-01-10 17:39:41
11640,25%,406684,2415836,69864,35932,348186,2019-01-10 17:39:43
11640,16%,405160,2415900,69813,35916,346694,2019-01-10 17:39:45
11640,13%,404976,2415868,69495,35904,346614,2019-01-10 17:39:47
11640,18%,401584,2398448,67019,35865,341254,2019-01-10 17:39:49
11640,16%,399892,2398096,66148,33751,339658,2019-01-10 17:39:51
11640,26%,398792,2397032,66018,33716,338682,2019-01-10 17:39:53
11640,17%,398812,2395952,65619,33700,338562,2019-01-10 17:39:55
11640,20%,398604,2395952,65149,33693,338422,2019-01-10 17:39:57
11640,16%,398696,2389600,65101,33694,338270,2019-01-10 17:39:59
